name,price,url,oz
"purina pro plan complete essentials adult wet cat food - antioxidants, high-protein, 3 oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-3-oz-12804.html,3.0
"purina pro plan complete essentials adult wet cat food - antioxidants, high-protein, 3 oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-3-oz-12807.html,3.0
"hill's® science diet® urinary hairball control adult wet cat food - minced, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-urinary-hairball-control-adult-wet-cat-food--minced-55-oz-66470.html,5.5
"nulo medalseries  all life stages wet cat food - grain free, no corn, wheat & soy, 12.5 oz.",$4.79,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-125-oz-36959.html,12.5
"hill's® science diet® healthy cuisine adult wet cat food - chunks & gravy, 2.8 oz",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-healthy-cuisine-adult-wet-cat-food--chunks-and-gravy-28-oz-33932.html,2.8
purina urinary tract health pro plan focus adult wet cat food - 3 oz.,$2.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus-adult-wet-cat-food--3-oz-72995.html,3.0
"purina pro plan savor adult wet cat food - antioxidants, high-protein, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-savor-adult-wet-cat-food--antioxidants-highprotein-55-oz-43869.html,5.5
"nulo medalseries  all life stages wet cat food - grain free, no corn, wheat & soy, 3 oz.",$2.49,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-3-oz-40070.html,3.0
fancy feast® paté cat food,$1.09,/cat/food-and-treats/wet-food/fancy-feast-pat-cat-food-12840.html,3
"nulo medalseries  all life stages wet cat food - grain free, no corn, wheat & soy, 3 oz.",$2.49,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-3-oz-40065.html,3.0
"purina pro plan complete essentials adult wet cat food - antioxidants, high-protein, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-55-oz-36669.html,5.5
"purina pro plan savor  adult wet cat food - antioxidants, high-protein, 3 oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-savor--adult-wet-cat-food--antioxidants-highprotein-3-oz-30078.html,3.0
hill's® science diet® perfect weight adult cat food - roasted vegetable & chicken medley,$2.99,/cat/food-and-treats/wet-food/hills-science-diet-perfect-weight-adult-cat-food--roasted-vegetable-and-chicken-medley-43667.html,2.9
"simply nourish® original cat wet food - 2.8 oz, natural, stew, grain free",$2.09,/cat/food-and-treats/wet-food/simply-nourish-original-cat-wet-food--28-oz-natural-stew-grain-free-51904.html,2.8
"purina pro plan complete essentials adult wet cat food - antioxidants, high-protein, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-55-oz-36662.html,5.5
royal canin® feline health nutrition instinctive adult loaf in sauce wet cat food  3 oz can,$3.49,/cat/food-and-treats/wet-food/royal-canin-feline-health-nutrition-instinctive-adult-loaf-in-sauce-wet-cat-food--3-oz-can-30745.html,3.0
"purina pro plan savor adult wet cat food - antioxidants, corn free, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-savor-adult-wet-cat-food--antioxidants-corn-free-55-oz-43866.html,5.5
"authority® everyday health cat wet food - 66 oz, flaked in gravy, with-grain",$28.99,/cat/food-and-treats/wet-food/authority-everyday-health-cat-wet-food--66-oz-flaked-in-gravy-withgrain-63498.html,66.0
"authority® everyday health adult cat wet food - 5.5 oz, flaked in gravy",$2.89,/cat/food-and-treats/wet-food/authority-everyday-health-adult-cat-wet-food--55-oz-flaked-in-gravy-51010.html,5.5
purina urinary tract health pro plan focus adult wet cat food - 5.5 oz,$3.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus-adult-wet-cat-food--55-oz-43872.html,5.5
"hill's® science diet® urinary hairball control adult wet cat food - minced, 2.9 oz",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-urinary-hairball-control-adult-wet-cat-food--minced-29-oz-30751.html,2.9
purina urinary tract health pro plan focus  adult wet cat food - 5.5 oz,$3.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus--adult-wet-cat-food--55-oz-112.html,5.5
"purina pro plan complete essentials adult wet cat food - antioxidants, high-protein, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-55-oz-36666.html,5.5
"nulo medalseries  all life stages wet cat food - grain free, no corn, wheat & soy, 5.5 oz.",$2.99,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-55-oz-36958.html,5.5
"hill's® science diet® healthy cuisine kitten wet cat food - chunks & gravy, 2.8 oz",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-healthy-cuisine-kitten-wet-cat-food--chunks-and-gravy-28-oz-33930.html,2.8
"wellness® signature selects cat food - natural, grain free",$5.49,/cat/food-and-treats/wet-food/wellness-signature-selects-cat-food--natural-grain-free-12914.html,2.8
,,,
purina urinary tract health pro plan focus adult wet cat food - 5.5 oz,$3.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus-adult-wet-cat-food--55-oz-43871.html,5.5
"wellness® complete health cat food - natural, grain free",$6.49,/cat/food-and-treats/wet-food/wellness-complete-health-cat-food--natural-grain-free-25941.html,12.5
"blue buffalo® wilderness™  adult wet cat food - grain free, chicken",$2.79 - $3.29,/cat/food-and-treats/wet-food/blue-buffalo-wildernessandtrade--adult-wet-cat-food--grain-free-chicken-36985.html,5.5
"purina pro plan complete essentials adult wet cat food - , 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food---55-oz-36664.html,5.5
"purina pro plan savor adult wet cat food - antioxidants, corn free, 5.5 oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-savor-adult-wet-cat-food--antioxidants-corn-free-55-oz-43868.html,5.5
"hill's® science diet® adult wet cat food - minced, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-adult-wet-cat-food--minced-55-oz-12820.html,5.5
"purina pro plan focus adult wet cat food - high-protein, with vitamins, 3 oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-focus-adult-wet-cat-food--highprotein-with-vitamins-3-oz-967.html,3.0
"applaws wet cat food - natural, limited ingredient, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/applaws-wet-cat-food--natural-limited-ingredient-55-oz-49777.html,5.5
