name,price,url
"Purina Pro Plan Complete Essentials Adult Wet Cat Food - Variety Pack, 24 CT, 72 OZ",$44.99,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--variety-pack-24-ct-72-oz-43896.html
"Tiki Cat® After Dark Wet Cat Food - Non-GMO, Grain Free - Variety Pack, 12 CT, 33.6 OZ",$34.99,/cat/food-and-treats/wet-food/tiki-cat-after-dark-wet-cat-food--nongmo-grain-free--variety-pack-12-ct-336-oz-57602.html
"Purina Pro Plan Complete Essentials Adult Wet Cat Food - Antioxidants, High-Protein, 3 Oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-3-oz-12804.html
"Purina Pro Plan Complete Essentials Adult Wet Cat Food - Antioxidants, High-Protein, 3 Oz",$2.19,/cat/food-and-treats/wet-food/purina-pro-plan-complete-essentials-adult-wet-cat-food--antioxidants-highprotein-3-oz-12807.html
"Hill's® Science Diet® Urinary Hairball Control Adult Wet Cat Food - Minced, 5.5 oz",$3.49,/cat/food-and-treats/wet-food/hills-science-diet-urinary-hairball-control-adult-wet-cat-food--minced-55-oz-66470.html
"Nulo MedalSeries  All Life Stages Wet Cat Food - Grain Free, No Corn, Wheat & Soy, 12.5 Oz.",$4.79,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-125-oz-36959.html
"Hill's® Science Diet® Healthy Cuisine Adult Wet Cat Food - Chunks & Gravy, 2.8 oz",$2.99,/cat/food-and-treats/wet-food/hills-science-diet-healthy-cuisine-adult-wet-cat-food--chunks-and-gravy-28-oz-33932.html
Purina Urinary Tract Health Pro Plan Focus Adult Wet Cat Food - 3 Oz.,$2.19,/cat/food-and-treats/wet-food/purina-urinary-tract-health-pro-plan-focus-adult-wet-cat-food--3-oz-72995.html
"Purina Pro Plan Savor Adult Wet Cat Food - Antioxidants, High-Protein, 5.5 Oz",$3.19,/cat/food-and-treats/wet-food/purina-pro-plan-savor-adult-wet-cat-food--antioxidants-highprotein-55-oz-43869.html
"Nulo MedalSeries  All Life Stages Wet Cat Food - Grain Free, No Corn, Wheat & Soy, 3 Oz.",$2.49,/cat/food-and-treats/wet-food/nulo-medalseries--all-life-stages-wet-cat-food--grain-free-no-corn-wheat-and-soy-3-oz-40070.html
Fancy Feast® Paté Cat Food,$1.09,/cat/food-and-treats/wet-food/fancy-feast-pat-cat-food-12840.html
